x,y,r
2,2,131.72867771096577
252,2,137.6242071170479
253,2,308.9092619348274
2,3,115.11383262486959
252,3,123.51164415703477
253,3,192.76627701165293
253,75,108.78321781527174
253,76,121.22891360683111
253,77,113.75831014169994
253,78,100.56606596601296
176,108,119.54327312642062
175,109,124.82355809000894
176,109,137.9242793989141
253,109,103.90891509720711
175,110,113.79313512636708
176,110,117.3419006311686
253,110,114.9157783429832
194,185,101.90056082347198
195,185,120.56184970372293
194,186,131.39265876917864
195,186,142.30385487544604
196,186,103.97997302189859
194,187,131.10810641286471
195,187,136.78766074618125
194,188,114.74612615082381
195,188,118.64328098577285
253,190,102.40210452019818
253,191,122.08976113046594
253,192,145.7238000353371
252,193,100.4742156076683
253,193,163.3484404175472
252,194,100.13606381857161
253,194,147.52202988363962
253,209,130.4111018057801
253,210,140.45528656377473
253,211,119.81865152396381
253,212,103.75249037245615
2,247,110.45739450234612
2,252,118.85941755063025
2,253,186.87269086864765
253,253,138.13761311851442
